ID,Date,Counterparty,Product,Income/Expense,Amount
250301001,2025-03-01,Freelance,Consulting Fee,Income,5204.03
250301002,2025-03-01,Salary,Monthly Salary,Income,9090.3
250301003,2025-03-01,Starbucks,Iced Mocha,Expense,181.24
250302001,2025-03-02,Salary,Monthly Salary,Income,5093.95
250303001,2025-03-03,Salary,Monthly Salary,Income,9444.18
250303002,2025-03-03,Gym,Gym Membership,Expense,73.93
250303003,2025-03-03,Starbucks,Iced Mocha,Expense,230.05
250304001,2025-03-04,Supermarket,Fruit Pack,Expense,90.58
250305001,2025-03-05,Supermarket,Milk,Expense,39.64
250306001,2025-03-06,Freelance,Website Maintenance,Income,8433.53
250306002,2025-03-06,Utility,House Electricity,Expense,143.23
250307001,2025-03-07,Gym,Gym Membership,Expense,32.85
250308001,2025-03-08,Restaurant,KFC Family Bucket,Expense,266.78
250308002,2025-03-08,Amazon,Biography - Steve Jobs,Expense,214.33
250309001,2025-03-09,Supermarket,Milk,Expense,295.71
250310001,2025-03-10,Gym,Online Course,Expense,90.61
250311001,2025-03-11,Amazon,Textbook - Linear Algebra,Expense,117.35
250311002,2025-03-11,Supermarket,Vegetables,Expense,213.53
250311003,2025-03-11,Starbucks,Iced Mocha,Expense,186.65
250312001,2025-03-12,Amazon,Manga Volume 1,Expense,57.39
250313001,2025-03-13,Utility,House Electricity,Expense,209.57
250313002,2025-03-13,Supermarket,Eggs,Expense,254.43
250314001,2025-03-14,Starbucks,Costa Americano,Expense,243.46
250315001,2025-03-15,Amazon,Biography - Steve Jobs,Expense,274.81
250315002,2025-03-15,Utility,July Power Bill,Expense,101.26
250316001,2025-03-16,Utility,Utility Company Charge,Expense,143.07
250316002,2025-03-16,Amazon,Manga Volume 1,Expense,226.05
250316003,2025-03-16,Utility,July Power Bill,Expense,179.53
250317001,2025-03-17,Salary,Monthly Salary,Income,4375.57
250317002,2025-03-17,Amazon,Textbook - Linear Algebra,Expense,299.22
250317003,2025-03-17,Freelance,Consulting Fee,Income,3818.18
250318001,2025-03-18,Gym,Streaming Subscription,Expense,182.96
250319001,2025-03-19,Gym,Music Premium Plan,Expense,163.44
250319002,2025-03-19,Starbucks,Nespresso Capsule,Expense,207.28
250320001,2025-03-20,Restaurant,Hotpot Dinner,Expense,227.75
250321001,2025-03-21,Supermarket,Eggs,Expense,136.08
250321002,2025-03-21,Utility,Utility Company Charge,Expense,264.0
250321003,2025-03-21,Restaurant,Sushi Platter,Expense,230.97
250322001,2025-03-22,Utility,Electricity (Apartment),Expense,96.55
250322002,2025-03-22,Restaurant,Chinese Takeout,Expense,67.68
250322003,2025-03-22,Amazon,Biography - Steve Jobs,Expense,166.42
250323001,2025-03-23,Supermarket,Vegetables,Expense,79.44
250323002,2025-03-23,Freelance,Website Maintenance,Income,10908.5
250323003,2025-03-23,Restaurant,KFC Family Bucket,Expense,104.01
250324001,2025-03-24,Starbucks,Flat White,Expense,34.84
250325001,2025-03-25,Restaurant,McDonald's Big Mac,Expense,232.09
250325002,2025-03-25,Freelance,Consulting Fee,Income,11521.64
250326001,2025-03-26,Restaurant,Hotpot Dinner,Expense,132.71
250327001,2025-03-27,Utility,Utility Company Charge,Expense,210.06
250328001,2025-03-28,Utility,Electricity (Apartment),Expense,198.46
250328002,2025-03-28,Restaurant,Sushi Platter,Expense,140.93
250328003,2025-03-28,Starbucks,Flat White,Expense,108.04
250329001,2025-03-29,Restaurant,Chinese Takeout,Expense,73.86
250329002,2025-03-29,Salary,Monthly Salary,Income,5060.48
250329003,2025-03-29,Supermarket,Toilet Paper,Expense,30.55
250330001,2025-03-30,Gym,Online Course,Expense,72.13
250331001,2025-03-31,Restaurant,KFC Family Bucket,Expense,177.1
